sequence,pressure,datetime,latitude,longitude,c_400.9,c_403.2,c_405.3,c_407.1,c_408.9,c_410.9,c_413.5,c_417.6,c_422.2,c_427.4,c_432.0,c_436.4,c_440.2,c_444.2,c_448.5,c_452.5,c_456.7,c_460.6,c_464.8,c_469.2,c_473.8,c_478.7,c_483.2,c_487.6,c_491.8,c_496.0,c_500.5,c_505.0,c_509.5,c_514.4,c_518.7,c_523.4,c_527.7,c_531.6,c_535.8,c_539.7,c_544.2,c_548.3,c_552.8,c_557.0,c_561.5,c_565.6,c_569.8,c_573.6,c_577.3,c_581.4,c_585.3,c_589.6,c_593.5,c_598.1,c_602.3,c_607.0,c_611.5,c_616.0,c_620.4,c_624.7,c_628.9,c_633.0,c_637.3,c_641.3,c_645.8,c_649.8,c_654.4,c_658.6,c_662.9,c_667.0,c_671.3,c_675.4,c_679.3,c_683.2,c_686.9,c_690.3,c_694.1,c_697.6,c_701.0,c_704.4,c_707.9,c_711.2,c_714.4,c_717.9,c_720.9,c_724.4,c_728.3,c_730.5,c_734.0,c_737.2,c_740.0,a_400.7,a_403.0,a_404.8,a_406.8,a_408.7,a_410.5,a_413.4,a_416.9,a_421.5,a_426.7,a_431.5,a_435.5,a_439.3,a_443.2,a_447.4,a_451.5,a_455.5,a_459.6,a_463.4,a_468.0,a_472.4,a_477.1,a_481.7,a_486.2,a_490.4,a_494.6,a_498.9,a_503.1,a_508.0,a_512.5,a_517.0,a_521.6,a_526.1,a_530.1,a_534.2,a_538.4,a_542.5,a_546.8,a_551.0,a_555.3,a_559.6,a_563.9,a_568.1,a_572.7,a_576.6,a_580.5,a_584.4,a_588.6,a_592.9,a_597.1,a_601.4,a_606.0,a_610.5,a_614.7,a_619.4,a_623.5,a_627.9,a_632.0,a_636.0,a_640.2,a_644.5,a_648.8,a_653.2,a_657.3,a_661.6,a_665.9,a_670.1,a_674.0,a_678.0,a_682.0,a_685.6,a_689.4,a_692.9,a_696.5,a_699.9,a_703.3,a_706.7,a_709.9,a_713.2,a_716.9,a_720.1,a_723.7,a_726.4,a_729.2,a_732.6,a_735.9,a_738.3
901,1.94700003,2026-08-31T00:36:41.386000+0000,-19.702162943983417,154.63708654118662,0.101573467,0.0992241055,0.106017262,0.0997274742,0.0994889364,0.0974639729,0.0970173553,0.0933065712,0.0932894275,0.0911396071,0.090513058,0.088877365,0.0871832967,0.0889219642,0.0859851241,0.0869654566,0.0851184577,0.084946081,0.0822617561,0.0826094449,0.0808938593,0.0788246393,0.0795865059,0.0783208162,0.076965265,0.0768998116,0.077014111,0.0755666941,0.0746718422,0.0747085214,0.0721424296,0.0708520338,0.071029231,0.070113048,0.0703493804,0.0689920336,0.0688113794,0.0674732625,0.0671608075,0.0655608922,0.0656125844,0.064665474,0.0643174574,0.0653644055,0.0639179721,0.0644127652,0.063212648,0.063041836,0.0628798008,0.0621044561,0.0615957603,0.060690742,0.0599559769,0.0592465848,0.0593578406,0.0588225313,0.0595755763,0.058861319,0.0587544367,0.0587447174,0.0580417551,0.0576718077,0.056808874,0.0567571856,0.0571829043,0.0570944212,0.0579869561,0.0584339127,0.0563457236,0.0580965877,0.0567531064,0.054813657,0.0558689833,0.0523127019,0.0540214255,0.0546729416,0.0522979386,0.0529834852,0.0528602377,0.0513976663,0.0508753546,0.0470476151,0.0459685437,0.0491880327,0.0452794768,0.048967436,0.0519733094,0.0245757811,0.0236094836,0.0236223228,0.0227493383,0.0220992994,0.023320308,0.0219080951,0.021637952,0.0217129365,0.0193958078,0.0208221469,0.019685898,0.0190821029,0.0187774338,0.0170190465,0.016815519,0.0165394079,0.0144329043,0.0136643471,0.0135014188,0.0121602686,0.0123051163,0.0113017764,0.010547963,0.0106030162,0.00904515851,0.00843117759,0.00749102654,0.00697361259,0.00626597088,0.00547524029,0.00527290488,0.00467869919,0.0046790652,0.00406495109,0.00391136622,0.00325283175,0.0035295838,0.00311780511,0.00229966524,0.0025263126,0.00268937694,0.00294613186,0.00214173505,0.00187797379,0.00210924889,0.00162213924,0.00155278784,0.00175865844,0.00211477769,0.00104263634,0.00110836164,0.00127323787,0.000899694511,0.000604854198,0.000466565602,0.000217122259,,,0.000101969228,0.000312875258,0.000479179318,0.000578291772,0.000743564742,0.00147417537,0.00152729941,0.00132011075,0.00152917975,0.00158263627,0.00131304178,0.00109911582,,1.1529075e-05,,,,,,,,,,,,,,
902,2.08400011,2026-08-31T00:36:41.635000+0000,-19.702162784208294,154.6370866623667,0.0825734735,0.114694074,0.104937285,0.0952074751,0.101328932,0.0959539786,0.0938473418,0.0870865583,0.0932594165,0.0887696072,0.0893930569,0.0823073685,0.0868732929,0.085801959,0.083045125,0.0844554603,0.083348453,0.0826160908,0.0804217458,0.0803394467,0.0785738602,0.0774446428,0.0772865042,0.0758208185,0.075765267,0.0751098096,0.0748641118,0.0733666942,0.0722618401,0.0725985244,0.0691924244,0.0695620328,0.0690692291,0.0678130537,0.0679293796,0.0667220354,0.0663713813,0.0660132617,0.0648208037,0.063990891,0.0633825809,0.0634754747,0.0628774539,0.0612544045,0.060857974,0.0604327619,0.0606126487,0.0595418364,0.0595898032,0.0602144524,0.0615257584,0.0619907416,0.062085975,0.0618565865,0.0617378391,0.0612325333,0.0614455789,0.0607913174,0.0609444343,0.0609047189,0.0599717535,0.0599718094,0.0590488762,0.0586771853,0.0587929003,0.0589644201,0.058876954,0.0595939122,0.059775725,0.0596665889,0.0581831075,0.058043655,0.056308981,0.056102708,0.056981422,0.0559429377,0.0563079379,0.0557034835,0.0565702394,0.055017665,0.0533853509,0.0510476157,0.049238544,0.0486080348,0.0482294746,0.0512974262,0.0512433089,0.0227057748,0.0236394946,0.0237923153,0.0228593387,0.0223792922,0.0227202978,0.0218380895,0.0214679297,0.0215329304,0.0208957884,0.0205921475,0.0196058936,0.0186821111,0.0184174366,0.0177790355,0.0161055233,0.0155894142,0.0146629037,0.014154342,0.0130314063,0.0127402665,0.0120851155,0.0111317839,0.0106079699,0.00957301818,0.00932515133,0.00796118006,0.00739102485,0.00719361333,0.00622597616,0.0051852488,0.00513290847,0.00458869617,0.00412906334,0.00373495021,0.00413136696,0.00325283175,0.00282957195,0.00311780511,0.00258967164,0.0027663107,0.00298938202,0.00330612902,0.0023117275,0.00198797416,0.00120924867,0.00196213904,0.00176277501,0.00159866468,0.000864778936,0.000992642948,0.000898359518,0.00117323617,0.00112969393,0.000694849761,0.000446568243,0.000157122733,,0.000143896788,4.19697026e-05,5.28723467e-05,0.000139179523,,0.000173565524,0.00092418096,0.00125729782,0.00136011292,0.00154918456,0.00120263419,0.000783044728,0.000479115755,,,,,,,,,,,,,,,,
903,2.22099996,2026-08-31T00:36:41.883000+0000,-19.70216262507496,154.63708678306003,0.0882634521,0.0873940736,0.0954472721,0.0858574733,0.0895989165,0.0887439921,0.0890973583,0.0850165486,0.0862094089,0.0830296203,0.0836630538,0.0796073675,0.0809932947,0.0814819634,0.0788351148,0.0799854547,0.079888463,0.0792560875,0.0773917437,0.0771294385,0.0761838555,0.0749146417,0.0743065029,0.0740208179,0.072655268,0.072519809,0.0711341128,0.0707866922,0.0694018379,0.0693385229,0.0675024241,0.0668920353,0.0661692247,0.064893052,0.0646693781,0.0649920329,0.064621374,0.0634732619,0.0638908073,0.0621108934,0.0626725852,0.0614754707,0.0615974553,0.0607644059,0.0606179759,0.0598727651,0.0597426482,0.0596118346,0.0579298064,0.0577444546,0.0578857586,0.0567007437,0.056675978,0.0565465838,0.0560378395,0.0554025322,0.0549755767,0.0547113195,0.0545844361,0.0549547151,0.0542417578,0.0534218103,0.0536888763,0.0532871895,0.0534829013,0.054204423,0.052946955,0.0538139157,0.0541857257,0.0532765873,0.0527931079,0.051633656,0.0513689816,0.0497427061,0.0500114262,0.0501729399,0.0492679402,0.0476434827,0.0485302396,0.0465976596,0.0473053493,0.0459076166,0.0418485515,0.0424280316,0.0436294861,0.0444874316,0.045353312,0.0247457735,0.0231994931,0.0248223133,0.0237393416,0.0228292774,0.0227802899,0.021848103,0.0221279319,0.0219629481,0.0215458069,0.0211721305,0.0205559023,0.0194821097,0.0190074332,0.0180190485,0.0170655157,0.0162994098,0.0153828971,0.0139043452,0.0130614173,0.0129702659,0.0122851189,0.0118817743,0.0111179622,0.0108430143,0.00956514943,0.00843117759,0.00830103923,0.00671360223,0.00643596333,0.00558524067,0.00537290657,0.00477870088,0.00458906218,0.0039649494,0.00431137299,0.00358281797,0.0035295838,0.00322780549,0.00282966974,0.0027663107,0.00232937979,0.00246613566,0.00290173898,0.00334797334,0.00249924208,0.00239212695,0.00184277934,0.00167865411,0.0018647809,0.0016926399,0.00184835331,0.00138323824,0.0016997006,0.0011848521,0.000646564178,0.000897121849,0.000183296506,0.00030389789,0.000321969972,0.000602874206,0.000819179113,0.000858292042,0.000863563793,0.00162417791,0.00193729741,0.00188011141,0.00164918625,0.0016126323,0.00145304564,0.000699116499,0.000152423047,,0.000483382493,,,,,,,,,,,,,
904,2.36199999,2026-08-31T00:36:42.139000+0000,-19.702162460808292,154.6370869076467,0.0943434238,0.0822240859,0.0942672715,0.0908074826,0.0883989185,0.0880939737,0.0880973339,0.0884265602,0.0843394399,0.0834296346,0.0828330666,0.0829373747,0.0793733075,0.0823219642,0.0810551271,0.0798154771,0.0792584643,0.0791760907,0.0777617618,0.0767594501,0.0760738701,0.0746246502,0.0744065121,0.0744308233,0.0732752755,0.0724198222,0.0711341128,0.0718366951,0.068941839,0.0688085258,0.0684324279,0.0665720329,0.0664092302,0.0662030429,0.0654993802,0.0653720424,0.0644713864,0.0640232712,0.0631208122,0.062350899,0.0622825883,0.060835477,0.0611174628,0.0621444136,0.0611079708,0.0606727488,0.0606126226,0.0597717911,0.0596797429,0.0597543716,0.0593656637,0.0590906478,0.0582458898,0.0579865053,0.0573077761,0.0567724928,0.0568055473,0.0562313013,0.055954434,0.0558647178,0.0557117611,0.0553818159,0.0543688685,0.0539871752,0.0538628921,0.0539144129,0.0545269549,0.0540639237,0.0538557395,0.0541866086,0.0533831306,0.0537436754,0.0520989895,0.0518926904,0.0500213802,0.0498728417,0.0500477739,0.050513234,0.0490898937,0.0493871793,0.0464247353,0.0458168164,0.0451875404,0.043076925,0.044508215,0.0451760739,0.0436919257,0.0234057549,0.0249194596,0.0225522835,0.0231593158,0.0227592923,0.0221803002,0.0216780994,0.0222979449,0.0216629207,0.0217258073,0.0206921455,0.0197958946,0.0192821044,0.0180774331,0.0172890369,0.0170955248,0.0160894059,0.014692897,0.0141943339,0.012831415,0.0127602611,0.0121251093,0.0113617806,0.0111679677,0.0103530176,0.00930515118,0.00833117217,0.00763103366,0.0068636057,0.00636596512,0.00593523122,0.00548289903,0.00510869455,0.00413905736,0.00425495114,0.0041513606,0.0036528206,0.00341958064,0.00347781437,0.00301967235,0.00336630573,0.00335937808,0.00300613977,0.00226173061,0.00242796633,0.00194922043,0.00202210061,0.00212274119,0.00188859005,0.00156469108,0.00142254436,0.00146825355,0.00127313891,0.000959608122,0.000704779057,0.000696511706,0.000547086587,,0.000393887633,,0.000232867897,0.000489173341,0.000228283228,0.000993552385,0.000914164179,0.00153728225,0.00160010287,0.00174918096,0.00149264245,0.000863056979,0.000679135788,0.000662436942,,,,,,,,,,,,,,,
905,2.51699996,2026-08-31T00:36:42.387000+0000,-19.70216230167496,154.63708702834003,0.0915833786,0.100224048,0.0860472172,0.0899774358,0.0902689099,0.0882839784,0.084047325,0.0876765475,0.0843494236,0.0841296315,0.0821130499,0.0824473947,0.0826433226,0.0799919814,0.0804951414,0.0798254982,0.0796184763,0.0780760944,0.0779317692,0.0767594576,0.0759838745,0.0755146667,0.0743065104,0.0738208219,0.0734652728,0.0728198141,0.0717241019,0.0705866739,0.0710718259,0.068988502,0.0687724054,0.0681920052,0.0667992085,0.066203028,0.0659593642,0.0647620261,0.0647013783,0.064093262,0.0635008067,0.0627408996,0.0625925958,0.0612354837,0.0618374571,0.0599643812,0.0593279079,0.0585126355,0.0584824421,0.0579815321,0.0581393875,0.0578539222,0.057775151,0.0565401576,0.0561454445,0.0553561486,0.054747507,0.0545222983,0.0547454283,0.0537212454,0.0541544221,0.0542647317,0.0536617748,0.053271804,0.0535388291,0.0525271036,0.0526228175,0.0537043549,0.053326942,0.0531339459,0.0547557883,0.0524066575,0.0525531583,0.0521636717,0.0501489006,0.0509324782,0.0496409871,0.0496921875,0.050046742,0.0491717756,0.0484479368,0.0497045442,0.0469213836,0.0458425581,0.0425223038,0.0416611806,0.0460317954,0.0443192869,0.0425450802,0.0204856992,0.0222894102,0.0222822614,0.0221092869,0.0218192469,0.0211502872,0.0213680696,0.0207579173,0.0205029212,0.0208858028,0.0197821502,0.0189659148,0.0180521086,0.0179774351,0.0169790406,0.0158655364,0.0153494207,0.0146629047,0.0134443473,0.0125514111,0.0122702653,0.0115751103,0.0113617796,0.0105979629,0.0101530133,0.00849514827,0.00749116298,0.00693100644,0.00649356982,0.0056359265,0.00502520148,0.0049328655,0.00425866153,0.0042190454,0.00375492708,0.00390135334,0.00317281368,0.00293955882,0.00322779198,0.00246966537,0.00228631403,0.0022093812,0.00227613258,0.00141169922,0.00174791249,0.00152912189,0.0015619375,0.00107248628,0.00158825505,0.00096426002,0.00103202905,0.00125774206,0.000902667409,0.000389222056,0.000494487351,0.000136294635,,,3.8620783e-06,,5.28858509e-05,,,0.000503483112,0.00114408671,0.00132721337,0.00160007179,0.00188918971,0.000352680392,0.000343106978,,,,,,,,,,,,,,,,,
906,2.70099998,2026-08-31T00:36:42.636000+0000,-19.7021621419,154.63708714952,0.0925533772,0.0854840502,0.0981672183,0.089257434,0.088868916,0.0875439569,0.0880473256,0.0837265477,0.0841694176,0.0822396278,0.0831630453,0.0814173967,0.0801533237,0.0815919787,0.0788651481,0.0795754865,0.0781984851,0.0778260976,0.0761817768,0.0760994554,0.0754138753,0.0742346644,0.0739165097,0.0723208264,0.0718652755,0.0711198151,0.0708441064,0.0700266808,0.0688518137,0.0698684901,0.0669223964,0.0661619976,0.0668792054,0.0645830333,0.0650493652,0.0643820316,0.064091377,0.0639432594,0.0628108084,0.0621108972,0.0616425946,0.0608354844,0.060717456,0.0601243787,0.0601378977,0.0586726107,0.0581724048,0.0585214794,0.0574593171,0.0570438281,0.0569850504,0.0564700551,0.0564353578,0.0558360778,0.0551474504,0.0545822605,0.0539654046,0.0540912338,0.0534844212,0.0535847358,0.0528617799,0.0525218062,0.0525888205,0.0514470935,0.0524028018,0.0524643436,0.05232694,0.053843949,0.0524157956,0.0514166616,0.0524531603,0.0502036698,0.0503888801,0.0502524339,0.0480709113,0.050992053,0.0488265343,0.0500014871,0.0498875529,0.0464640148,0.0462707095,0.0470417105,0.0411912613,0.0423600376,0.0417605229,0.0427879393,0.0453437343,0.0229557045,0.0238594152,0.0229722373,0.0237092786,0.0215292685,0.0216002706,0.0213080738,0.0201979,0.0210929178,0.02030579,0.0193221364,0.0191259105,0.0184421036,0.0186374374,0.0174890496,0.016085539,0.015579422,0.0141829085,0.0134143364,0.0132714063,0.0119802589,0.0120551223,0.0110717732,0.0102979569,0.0101130186,0.00821513962,0.00823115185,0.00662101433,0.00631357357,0.00575591996,0.00544520002,0.00483285822,0.00471865525,0.00430904515,0.00383492815,0.00340135768,0.00312280329,0.00316955615,0.00270779897,0.00216965936,0.00275631156,0.00202939007,0.00258613634,0.00176169258,0.00228790473,0.00180909294,0.00207191193,0.00148244319,0.00191818771,0.00157416775,0.00100193289,0.00100764516,0.000992580084,0.000799144851,0.000464426354,0.000326257665,0.000316925347,,0.00014385453,2.19737412e-05,,,0.000648249115,0.000823465176,0.00103407144,0.000787204714,0.00169006875,0.00125919201,0.00135268189,0.000963115948,0.000309174182,,,,,,,,,,,,,,,,
907,2.88599992,2026-08-31T00:36:42.886000+0000,-19.70216198148325,154.63708727118674,0.0811133906,0.0960540324,0.0883271992,0.0854174271,0.0887688994,0.0873939618,0.0839973018,0.0807465538,0.084099412,0.079839617,0.0805530474,0.0776973963,0.0795033202,0.0788419694,0.0777651444,0.0786054954,0.0769584849,0.0763961077,0.0750917718,0.0746794641,0.0734738708,0.0721746683,0.0724165142,0.0717308223,0.0708552748,0.0706198141,0.070644103,0.0695466697,0.0686718076,0.068278484,0.0665823892,0.0656819865,0.0651491955,0.0648230314,0.0648193657,0.0645320266,0.0639313757,0.0639432594,0.062960811,0.0617908947,0.0613225922,0.0609954856,0.061037451,0.0650443733,0.0648078844,0.0647325814,0.063542366,0.0638214201,0.0634292439,0.062873736,0.0631449521,0.0614199564,0.0609552711,0.0602960065,0.0592373982,0.058512222,0.0582253858,0.0577712208,0.0574344173,0.057044737,0.0568117835,0.0555718057,0.0561288148,0.0542670786,0.0537627861,0.0553243272,0.0541169345,0.0540339537,0.0563358031,0.0542366691,0.0538231656,0.0540436655,0.0497188605,0.052822385,0.0516808257,0.04912192,0.0540863238,0.0507911928,0.0497471616,0.0515134893,0.0457700454,0.0486908592,0.0471302234,0.0410688855,0.0488792509,0.044636596,0.0434823856,0.0253456924,0.0226294044,0.0235822238,0.0234892704,0.0235492662,0.022470288,0.0231180545,0.0222378951,0.0210329257,0.0217658076,0.0203121416,0.0193359163,0.0190521143,0.0179674383,0.0172790494,0.0168455318,0.0153594231,0.0146729052,0.0139143467,0.0125114182,0.0129802609,0.0118051115,0.0110317785,0.0106079597,0.00978301745,0.00921514072,0.00870114565,0.00739099924,0.00645356486,0.00583591824,0.00511519238,0.00548285572,0.00444865599,0.00439903047,0.00427492708,0.00340135582,0.00371281267,0.00343956333,0.00289780181,0.00276966835,0.00312630739,0.00274938438,0.00252612936,0.00261169462,0.00187788834,0.00158907031,0.0018418798,0.00182239444,0.0016581089,0.00160407741,0.000991833978,0.00129755121,0.000702498248,0.000409068773,0.00039437064,0.000686213141,,0.000133168534,,0.000571977464,0.000312896678,0.000479178852,0.000718241383,0.00101345696,0.00106405257,0.00159718923,0.00160005991,0.0014491902,0.0011026921,0.00166312931,0.000509183505,,,,,,,,,,,,,,,,
908,3.07200003,2026-08-31T00:36:43.138000+0000,-19.702161819783417,154.63708739382662,0.088273406,0.0867740735,0.092977263,0.088767454,0.0884089172,0.0876039788,0.0866573155,0.0851065442,0.0849994123,0.0829396248,0.081713073,0.081407398,0.0800433233,0.0810919702,0.0791251436,0.0793854967,0.078718476,0.0775261074,0.0777717754,0.0764794648,0.0759838745,0.074914664,0.0747065172,0.074530825,0.0735652745,0.0730098113,0.0728941038,0.0717366785,0.0717118159,0.07144849,0.070712395,0.0701319948,0.0696992055,0.0691930354,0.0687593669,0.0678520352,0.0678113773,0.0672432631,0.0678608119,0.0662708953,0.0663225949,0.0660254881,0.0652774572,0.0632743835,0.0629478991,0.0624226108,0.0615724064,0.0615614764,0.0608293153,0.0602338314,0.0609850511,0.0598800555,0.0599253587,0.0585860796,0.0581374504,0.0576722622,0.0575454086,0.0575012341,0.0573644228,0.0571047366,0.0566117838,0.0561518073,0.0554588214,0.0551470928,0.0558228008,0.0554543436,0.0546669401,0.0565339513,0.0553157963,0.0551566631,0.0559431612,0.0537436679,0.0530488789,0.053092435,0.0516809076,0.0520720519,0.0524665341,0.0512514859,0.0531875491,0.0502240174,0.0483207144,0.0481817089,0.0472112559,0.0461200327,0.0478905179,0.0457979441,0.0498937368,0.0234756954,0.0230094232,0.0234522335,0.0228692703,0.0222892575,0.0221402887,0.0223880503,0.0219379086,0.0221429132,0.0206157938,0.020882139,0.0195759106,0.0192221049,0.0187774338,0.0180490501,0.0170755275,0.0165394153,0.0146729033,0.014394341,0.013521418,0.0124502564,0.0123251164,0.0113717783,0.0102779595,0.0106330244,0.00901513826,0.00843115523,0.00727100298,0.00693356618,0.00638592616,0.00567519944,0.00504286028,0.00458865752,0.00416903384,0.00424493384,0.00386135676,0.00348281534,0.0032395618,0.00293779839,0.00288966857,0.00318631437,0.0026893774,0.00276614237,0.00206169765,0.00255789887,0.00191909331,0.00193190074,0.00240244088,0.00185818074,0.00180416717,0.00159192947,0.00138763967,0.00133257988,0.000879149185,0.000534424558,0.000416253228,0.000156924129,,0.000473855645,4.19710996e-05,0.000362893566,0.000119180768,0.000918243255,0.000783470459,0.00125407218,0.00134720525,0.00211006543,0.00200918969,0.000892683049,0.00110311981,0.00033917767,,,,,,,,,,,,,,,,
909,3.23399997,2026-08-31T00:36:43.387000+0000,-19.702161660008294,154.6370875150067,0.0915333629,0.0867140517,0.0964372531,0.0903874487,0.0901689231,0.0885839686,0.0902973115,0.0872965381,0.0862594247,0.0856996179,0.0857030675,0.0856774002,0.0829033181,0.0862719715,0.083785139,0.0840054974,0.0831584856,0.0828561038,0.081911765,0.081099458,0.0805138722,0.0795246661,0.078276515,0.0785308257,0.0781752765,0.0772098154,0.076924108,0.0772866756,0.0743918195,0.0754984915,0.073912397,0.0726419985,0.0736992061,0.0724130347,0.0723193735,0.0720920265,0.0717713833,0.0707732663,0.0704908073,0.0702108964,0.0694225952,0.0692254826,0.0691174567,0.0601243787,0.059817899,0.05828261,0.0573224053,0.0584614761,0.0574593171,0.0571438298,0.05766505,0.056330055,0.0562453568,0.056116078,0.0550874509,0.0547922589,0.0547654107,0.0543812327,0.05411442,0.0540847369,0.0535617806,0.0538518094,0.0534788221,0.0528270938,0.0524928011,0.0540743433,0.0528469421,0.0544239506,0.0538857952,0.0532766618,0.0527931601,0.0518336669,0.0503088795,0.051802434,0.0494609103,0.0514120534,0.0514865331,0.0509814844,0.0506875515,0.0496340133,0.0456707142,0.0476417057,0.0425512604,0.0433000326,0.0469105281,0.0469479412,0.0468937382,0.0221956857,0.0234293975,0.0237922482,0.0220992975,0.0220592432,0.0215102676,0.0211280677,0.020317914,0.0213529132,0.0200257972,0.0189821366,0.0197559167,0.0176921133,0.0180574395,0.016779054,0.0163255371,0.015819421,0.0141929071,0.0131943356,0.0130214095,0.0124902511,0.0113551104,0.0113417823,0.0101179508,0.00987302046,0.00852514338,0.00799115375,0.00693100318,0.00609357283,0.00579592958,0.00522519927,0.0048428718,0.00397866359,0.00375904352,0.00368493306,0.00332135335,0.00358280214,0.00287956465,0.00275779236,0.00222966634,0.00234630611,0.00256937835,0.00240613031,0.00254169409,0.00204789173,0.00180909294,0.00194189942,0.00192244467,0.00213818834,0.00209417357,0.00156193343,0.00138763967,0.00145257893,0.00135914539,0.000674428418,0.000856254715,0.000376924872,0.000453184941,0.00068385771,0.000641973806,0.00058288686,0.000739180832,0.000858243729,0.00116347242,0.00119407265,0.00179720542,0.00211006543,0.00215919223,0.00143268623,0.00134311791,0.000979175093,0.000182435382,,,,,,,,,,,,,,,
910,3.3599999,2026-08-31T00:36:43.636000+0000,-19.702161500233334,154.63708763618666,0.0932133719,0.0819340572,0.103887238,0.0872274488,0.0905489102,0.088313967,0.0939373076,0.0838765502,0.0849394277,0.0855696276,0.0858630538,0.0821373984,0.0811733305,0.0851119831,0.0809751451,0.0807954967,0.0801384896,0.0798861161,0.0773917735,0.0768294707,0.0776338801,0.0752146691,0.0755965188,0.0744208321,0.0731552839,0.0728098229,0.0732941106,0.0731766745,0.0701418146,0.0721484944,0.0696123987,0.0683519989,0.0696992055,0.0678930357,0.0678493753,0.0674020424,0.0671313852,0.0663932711,0.0664608181,0.0660409033,0.0648926049,0.0652254969,0.0651174635,0.0669843778,0.0654478967,0.0660125986,0.0648823828,0.0654414371,0.0642092526,0.0636437461,0.0645549521,0.0632999539,0.0626552701,0.0623560101,0.0608473942,0.0612322204,0.0610353798,0.0599712171,0.0597044118,0.0594847389,0.0594917871,0.0581218079,0.0587888174,0.0573370829,0.0572427921,0.0583443306,0.0570269413,0.058293961,0.0577758141,0.0558066852,0.0570731834,0.0546136871,0.0538188852,0.0558524206,0.0531708635,0.0552119613,0.0525363684,0.0522712357,0.0532772057,0.0500935316,0.0486900955,0.0511009097,0.0432202555,0.0506489165,0.0472292714,0.0472665913,0.0491623469,0.0234256722,0.0258993972,0.0231922232,0.023239281,0.0227092505,0.022820279,0.0219180565,0.0220979061,0.0220529046,0.0217658002,0.0206021424,0.0207159072,0.0188021138,0.0189174414,0.0180590469,0.0168355294,0.016069416,0.0148929022,0.0138743334,0.0132814171,0.0124702509,0.0120051121,0.0110317767,0.0108179599,0.0100530097,0.00893514603,0.00823114626,0.0073110084,0.00680356193,0.00584591553,0.00542519474,0.00489285728,0.00439866073,0.00389903504,0.00401492976,0.00340135442,0.00353280571,0.00336955674,0.00282779522,0.00235966197,0.00288630882,0.00256937882,0.00282613537,0.00195169379,0.00180788431,0.00163908058,0.00125187065,0.00171239662,0.00135812105,0.00122408429,0.00110183307,0.00112753874,0.000752483145,0.000359057449,0.000654354459,,0.000106886495,0.000213162741,0.000143841258,,0.000132883666,,0.000228234916,0.000763449119,0.00121405197,0.00166718441,0.00106006186,0.00166919047,0.000822694157,0.00104313565,0.000389187713,9.24540218e-05,,,,,,,,,,,,,,,
