sequence,pressure,datetime,latitude,longitude,c_400.9,c_403.2,c_405.3,c_407.1,c_408.9,c_410.9,c_413.5,c_417.6,c_422.2,c_427.4,c_432.0,c_436.4,c_440.2,c_444.2,c_448.5,c_452.5,c_456.7,c_460.6,c_464.8,c_469.2,c_473.8,c_478.7,c_483.2,c_487.6,c_491.8,c_496.0,c_500.5,c_505.0,c_509.5,c_514.4,c_518.7,c_523.4,c_527.7,c_531.6,c_535.8,c_539.7,c_544.2,c_548.3,c_552.8,c_557.0,c_561.5,c_565.6,c_569.8,c_573.6,c_577.3,c_581.4,c_585.3,c_589.6,c_593.5,c_598.1,c_602.3,c_607.0,c_611.5,c_616.0,c_620.4,c_624.7,c_628.9,c_633.0,c_637.3,c_641.3,c_645.8,c_649.8,c_654.4,c_658.6,c_662.9,c_667.0,c_671.3,c_675.4,c_679.3,c_683.2,c_686.9,c_690.3,c_694.1,c_697.6,c_701.0,c_704.4,c_707.9,c_711.2,c_714.4,c_717.9,c_720.9,c_724.4,c_728.3,c_730.5,c_734.0,c_737.2,c_740.0,a_400.7,a_403.0,a_404.8,a_406.8,a_408.7,a_410.5,a_413.4,a_416.9,a_421.5,a_426.7,a_431.5,a_435.5,a_439.3,a_443.2,a_447.4,a_451.5,a_455.5,a_459.6,a_463.4,a_468.0,a_472.4,a_477.1,a_481.7,a_486.2,a_490.4,a_494.6,a_498.9,a_503.1,a_508.0,a_512.5,a_517.0,a_521.6,a_526.1,a_530.1,a_534.2,a_538.4,a_542.5,a_546.8,a_551.0,a_555.3,a_559.6,a_563.9,a_568.1,a_572.7,a_576.6,a_580.5,a_584.4,a_588.6,a_592.9,a_597.1,a_601.4,a_606.0,a_610.5,a_614.7,a_619.4,a_623.5,a_627.9,a_632.0,a_636.0,a_640.2,a_644.5,a_648.8,a_653.2,a_657.3,a_661.6,a_665.9,a_670.1,a_674.0,a_678.0,a_682.0,a_685.6,a_689.4,a_692.9,a_696.5,a_699.9,a_703.3,a_706.7,a_709.9,a_713.2,a_716.9,a_720.1,a_723.7,a_726.4,a_729.2,a_732.6,a_735.9,a_738.3
2284,1.05200005,2026-08-28T03:51:34.137000+0000,-25.07083432319458,153.99077525743505,0.0293728914,0.0360871777,0.0358292349,0.0384056531,0.0356713161,0.0334938541,0.0292697344,0.0246762168,0.0225627646,0.0199932978,0.0175509397,0.0197601877,0.0181053411,0.019558996,0.0194070861,0.0187004507,0.0187687799,0.0184915159,0.0180597045,0.0176420715,0.0162189715,0.0165938381,0.0159774348,0.015821578,0.0158883855,0.0162300561,0.0152361691,0.014887901,0.0149833178,0.014205154,0.0144339968,0.0142419292,0.0136856623,0.0139686558,0.0143150901,0.013568135,0.0135202277,0.0128657361,0.0130467685,0.0125729069,0.0126195624,0.0121910172,0.0124332942,0.011382903,0.0117808376,0.0114801591,0.0116216764,0.0113752475,0.010092156,0.00981989782,0.00951225776,0.00960801169,0.00999350939,0.00981736835,0.0102119809,0.00984057505,0.00979835913,0.00918041449,0.00973926112,0.00936406478,0.00985475443,0.00895715877,0.00979743432,0.00956470519,0.00991471671,0.00939528737,0.00952007528,0.00939245429,0.00971991941,0.00906574074,0.00952091906,0.00851419196,0.00824147277,0.00844487548,0.00786349643,0.00671517849,0.00689161941,0.00485092867,0.00443586055,0.00163961481,0.000891453587,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0546249524,-0.0502738692,-0.0469681695,-0.0434637368,-0.0402992815,-0.0370538346,-0.034083575,-0.030624507,-0.0277525578,-0.025568299,-0.0221453756,-0.0197094306,-0.0170263946,-0.0144309849,-0.0120464638,-0.00959269702,-0.0072571598,-0.00501541421,-0.00278092548,-0.00131634995,0.00066107884,0.00289941952,0.00496049225,0.00262480602,0.00403476134,0.00538354367,0.00626822561,0.00682102889,0.00706426054,0.00754104555,0.00822113454,0.00929472595,0.0106822625,0.0119212121,0.0134216771,0.0147951841,0.0154996142,0.0175811797,0.0177873895,0.0191997886,0.0205306187,0.0216330066,0.0223298743,0.0229793042,0.0235347226,0.0248348713,0.0249965116,0.0261268467,0.0264900476,0.0269195288,0.0269494429,0.0259556621,0.0254227668,0.0240862593,0.0221486464,0.0206666291,0.0177213624,0.0136525482,0.00797445327,0.00211234763,-0.0072822012,-0.0164571442,-0.0269056633,-0.0359521359,-0.0427172109,-0.052270107,-0.0546675548
2285,1.13,2026-08-28T03:51:34.386000+0000,-25.07083595870916,153.99077511343006,0.0376429185,0.0313171968,0.0326992162,0.0400256477,0.0354213342,0.0330838338,0.0263597462,0.0260562133,0.0224127695,0.019013308,0.01845094,0.0201201998,0.0193053316,0.0174790025,0.0203170851,0.0189704597,0.0192187801,0.0179315154,0.0182197131,0.0179320779,0.0167089812,0.017173836,0.0160774365,0.0166315753,0.0159783736,0.0162300561,0.0154461712,0.0146878976,0.0164633244,0.014025148,0.0153439958,0.0145719228,0.0139956661,0.0149586592,0.0140850907,0.0137181301,0.0130502228,0.0138657382,0.0133567723,0.0126429051,0.0137295648,0.0126810195,0.0128332935,0.0134029044,0.0122708324,0.0118801584,0.0124816746,0.0111452481,0.0109521616,0.011679898,0.00996225793,0.0116980113,0.0106235081,0.010117366,0.010921984,0.0100705819,0.0094983615,0.0103904186,0.0105092563,0.010254059,0.00989475287,0.0107471608,0.00943743344,0.00994470343,0.0105147194,0.00925528724,0.0110200746,0.0114924526,0.00854991842,0.0114557417,0.0102709206,0.00795419049,0.0111514758,0.00698487461,0.00777349714,0.0089051798,0.00534161925,0.00612092856,0.00533585995,0.000209615566,0.00390145089,,,,,,,,,,,,,,,,,,,,,-0.0661275238,-0.0629889369,-0.0593560413,-0.0568804294,-0.0534977615,-0.0482083745,-0.0455669537,-0.0403558649,-0.0377301648,-0.0349557437,-0.0306812637,-0.0283058397,-0.0262155868,-0.021936506,-0.019574564,-0.0167303011,-0.0133673698,-0.0103914216,-0.00836838782,-0.00533299148,-0.00380846113,-0.000524699688,0.00151082873,0.00250259042,0.00552707911,0.00721165538,0.00910908729,0.0114274099,0.013378486,0.00735280663,0.00902277976,0.0101415366,0.0104562268,0.0110490397,0.0115722641,0.0116990507,0.0120891333,0.0128027275,0.0145102665,0.0157792121,0.017159678,0.0184431821,0.0195676163,0.0207691789,0.0223453864,0.0234377831,0.0243586227,0.0254509971,0.0260078683,0.0263773054,0.0275627151,0.0281128734,0.0292045251,0.029674843,0.0303280354,0.0301575363,0.0302874371,0.0299636722,0.0282807648,0.0283242539,0.0255866423,0.0226746351,0.019619368,0.0145805478,0.00959245116,0.00144035369,-0.0077942051,-0.017819155,-0.0276176594,-0.0402141213,-0.0476692095,-0.0559921041,-0.0617795512
2286,1.20799994,2026-08-28T03:51:34.635000+0000,-25.07083759422542,153.99077496942496,0.0348028764,0.0303172097,0.0396792181,0.0379656516,0.0346513018,0.0327038541,0.0295997355,0.0254962277,0.0208827779,0.0196933076,0.0193609241,0.0190401934,0.0176653396,0.0200189948,0.0195070878,0.0188804567,0.0186687782,0.0185715202,0.0179597177,0.0165820774,0.0167089812,0.0165038351,0.0159774348,0.0164315719,0.0158883855,0.0155300582,0.015726164,0.0162379015,0.0141533231,0.0146251507,0.0149239991,0.0140819279,0.0131256618,0.0145786572,0.0134050911,0.0137981344,0.0136002246,0.0132557368,0.0122567685,0.0123329088,0.0122195631,0.0119610177,0.0121232979,0.0128429038,0.0117808376,0.0117201572,0.0117716789,0.0106852492,0.0108621586,0.00981989782,0.0101722525,0.0103180148,0.00949350838,0.010117366,0.010011985,0.00985058118,0.00986835733,0.00998041313,0.0100792609,0.00951405987,0.00987475552,0.0090171583,0.0089774346,0.00996470451,0.00860471837,0.00991528947,0.0110400757,0.0092924526,0.0110099167,0.00934574101,0.00813092012,0.00998419151,0.00731147267,0.00781487674,0.00944349635,0.00660518184,0.00779161789,0.00611092802,0.00234586,0.00357961562,,,,,,,,,,,,,,,,,,,,,-0.0705766007,-0.0677755177,-0.0640469342,-0.061434038,-0.0575384349,-0.0541057587,-0.0507663824,-0.0473349467,-0.0433538593,-0.0395181701,-0.0364237465,-0.0334092639,-0.0303938352,-0.0278435834,-0.0246044993,-0.0215925537,-0.0194283053,-0.0166253746,-0.0133194253,-0.0114563853,-0.00878097862,-0.00596646219,-0.00419269502,-0.00164715946,0.000584587455,0.00229907036,0.00401364267,0.00579109043,0.00805941969,0.00982049108,0.0101448074,0.0108947679,0.0113835484,0.0124982372,0.0133610442,0.013784267,0.0136010498,0.013791129,0.0145947263,0.0160922632,0.0173312128,0.0180816874,0.0197651833,0.0203096047,0.0222311765,0.0234373882,0.0244497806,0.0253206268,0.0265330002,0.0271798745,0.0274393111,0.0280047134,0.0292348713,0.0298165157,0.030546844,0.030360043,0.0308795273,0.0313094333,0.0304656625,0.0297027677,0.0278962627,0.0265486464,0.0243466347,0.0200913623,0.015542537,0.00976445526,0.00102236122,-0.00748221576,-0.0188471563,-0.0311356746,-0.0380321443,-0.0492472127,-0.0585701093,-0.0625475571
2287,1.28499997,2026-08-28T03:51:34.884000+0000,-25.07083922974,153.99077482542,0.0279128756,0.0383371934,0.030299237,0.037865635,0.0361413285,0.0334338322,0.0285197292,0.0250562262,0.0245327875,0.0188632831,0.0196209494,0.0189901851,0.019145323,0.0196290016,0.0209370926,0.0204904526,0.0195487812,0.0192015115,0.0192597099,0.0185720827,0.0177689753,0.0174638424,0.0171674415,0.0173215736,0.0170783773,0.0163100604,0.0167961717,0.0160278995,0.016643323,0.0149751492,0.0151739959,0.0147219254,0.015165668,0.0145586599,0.0149050942,0.0148581285,0.0147202257,0.0142557388,0.0138067724,0.0136629045,0.0140395612,0.0130710201,0.0133932941,0.0130029051,0.0126708392,0.0117201572,0.0115416795,0.0114552444,0.0111721549,0.0106499,0.00997225661,0.0102080144,0.0106435129,0.0104573732,0.0102319857,0.0100105749,0.00994836167,0.0103304191,0.0103492625,0.0103340633,0.0102347564,0.0101671591,0.00933743175,0.010504704,0.00962471776,0.0104052881,0.0115100769,0.0100024519,0.0100599192,0.0105057405,0.00943091977,0.00981419161,0.00857147388,0.0086048767,0.00926349778,0.00741517916,0.00722161867,0.00584092829,0.00323586026,0.00305961352,0.00257145148,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0638889372,-0.0605478548,-0.0570721626,-0.0541777387,-0.0507432744,-0.048697833,-0.0454875752,-0.0427585021,-0.0394265503,-0.0368423015,-0.0340993628,-0.0314434171,-0.0292603895,-0.027144976,-0.0246804506,-0.0220866874,-0.0201111622,-0.0176994093,-0.0155549236,-0.0140303411,-0.0118829198,-0.0103645734,-0.00814350694,0.00875081122,0.0097707808,0.0104895458,0.0113042295,0.0122770369,0.0127002746,0.0128070489,0.0128571317,0.0142807364,0.0155582726,0.0165172145,0.0175276846,0.0184611902,0.0202756077,0.0217671767,0.0227833837,0.0239757821,0.0247966349,0.0260890126,0.0262758732,0.0263253078,0.0273207277,0.0282308683,0.0293725282,0.029332839,0.0303360447,0.0304555371,0.0302354395,0.029441677,0.0285787657,0.0273822695,0.0249546468,0.0232626423,0.01945737,0.0153885409,0.00921046734,0.00100836158,-0.00700620934,-0.0186011456,-0.0276996493,-0.0372061208,-0.0478111953,-0.0541941077,-0.0609415472
2288,1.35800004,2026-08-28T03:51:35.137000+0000,-25.070840891527915,153.9907746791017,0.0218528714,0.0370871648,0.0358192213,0.0346656404,0.0351613387,0.032863833,0.0304397438,0.0235262047,0.0243327841,0.0191532895,0.0192109291,0.0187901817,0.0186853241,0.0206490159,0.0188370869,0.0209404528,0.0201887861,0.0184715185,0.0188697167,0.0182820763,0.0177689753,0.0168538336,0.0168574378,0.0174215753,0.0167883858,0.017020056,0.0165061653,0.0158478934,0.015433318,0.0157751478,0.0147739965,0.0146319224,0.0142256655,0.0140286554,0.0141450902,0.0147081334,0.0139702279,0.0137157356,0.0143667655,0.0130329058,0.01308956,0.0128310146,0.0128332935,0.0135729043,0.012510838,0.0120401597,0.012011677,0.0122352457,0.011092158,0.0107298968,0.0109122517,0.0105480142,0.0110635096,0.0105973696,0.0108419796,0.0106205763,0.0101583563,0.0103304191,0.0105092563,0.0108040608,0.0109647531,0.0106671602,0.010117433,0.0101347044,0.01059472,0.0109452875,0.0103800735,0.0111624515,0.0109299198,0.0103857415,0.0110809179,0.0101241916,0.00992147438,0.00921487808,0.00833349768,0.0087351799,0.00807161815,0.00666092802,0.00757586025,0.00326961558,0.00181145128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0572118312,-0.0536315814,-0.0502424985,-0.0474905521,-0.0448563062,-0.0419833735,-0.0385574177,-0.0356343836,-0.0333889872,-0.0304544531,-0.028100688,-0.0257451683,-0.0230634063,-0.0211989284,-0.0196643472,-0.0168169141,-0.0147185847,-0.0121875145,-0.010633193,-0.00859323144,-0.00789445266,-0.00675977767,-0.00548695773,-0.00501373783,-0.00374694169,-0.00324685872,-0.00166327879,-0.000245735049,0.00130321458,0.00251367688,0.00377718732,0.00553161278,0.00648317859,0.00809938088,0.00966178998,0.0109526254,0.0119050033,0.0129318722,0.0138413124,0.0148367174,0.0155668668,0.0163585134,0.0171788447,0.0180520378,0.0182715319,0.018211443,0.0183976702,0.0174647532,0.0176782645,0.0160806365,0.0159386359,0.0125333704,0.0101045482,0.00581646338,0.0018543452,-0.00564020127,-0.0121351704,-0.0196336806,-0.0255701281,-0.0322952084,-0.0368281119,-0.038435556
2289,1.37199998,2026-08-28T03:51:35.385000+0000,-25.07084252047458,153.99077453567503,0.0347429141,0.0323071703,0.040379215,0.0391656719,0.0372113213,0.0359238461,0.0331897512,0.0260262322,0.0254127607,0.0224533007,0.0215109531,0.021270182,0.0205953252,0.0215690136,0.0214670971,0.0220604539,0.021858789,0.0206315164,0.0202397145,0.0191020723,0.0191089772,0.0188238416,0.0185474381,0.0183115769,0.0185783729,0.0181100611,0.0181761682,0.0179379005,0.0167133212,0.0168251507,0.0159339998,0.0156819262,0.0159456618,0.0154086594,0.0155750951,0.0151481349,0.0148702282,0.0150157353,0.0149067687,0.0146129057,0.014589563,0.0141910138,0.013863299,0.0140429018,0.0133908335,0.0133901602,0.0125616789,0.0129352501,0.0121621583,0.0116398958,0.0121722566,0.0117780156,0.0112235108,0.0115773669,0.0114919832,0.0111205773,0.0116483606,0.0116804196,0.0114592575,0.0119140632,0.0112047549,0.0108471587,0.0108774332,0.010404706,0.01138472,0.0119252885,0.0111600747,0.0128124533,0.0117299184,0.010945742,0.0113709206,0.0105141923,0.00926147588,0.0104348771,0.00861349795,0.00952517986,0.00882161781,0.006300929,0.00701586064,0.00260961521,0.00125145074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0645838305,-0.061443571,-0.0576844923,-0.0544525459,-0.0512182936,-0.0482153744,-0.0457494184,-0.0429763794,-0.0408809744,-0.0383664593,-0.0351626873,-0.0332271568,-0.0309154056,-0.0285209231,-0.0270563476,-0.0249389224,-0.0224305727,-0.0208695084,-0.0184651949,-0.0163552277,-0.015896447,-0.013941776,-0.0131789632,-0.0119157434,-0.0110489391,-0.0100688599,-0.00883527845,-0.00680774078,-0.00556878,-0.00441832468,-0.00300481915,-0.00191039592,-0.000178813934,0.00132738799,0.00214979053,0.00415062159,0.00506300479,0.00591988117,0.00714930892,0.00839472562,0.00906486809,0.0102665201,0.0103868395,0.0115400404,0.0112695396,0.0120994374,0.0121456683,0.0126927644,0.0121262595,0.0116886422,0.0107666403,0.00978136808,0.0072825402,0.00421445817,0.00219235569,-0.00335219875,-0.0103371628,-0.0128156804,-0.0187721215,-0.0234872177,-0.0273701176,-0.0290775523
2290,1.38699996,2026-08-28T03:51:35.634000+0000,-25.07084415598916,153.99077439167007,0.0200028624,0.051547192,0.0343492515,0.0363756381,0.0400013253,0.0365938321,0.03091974,0.0239262115,0.0265927836,0.0215432867,0.020790929,0.0185202025,0.0236153435,0.0216290057,0.0207370892,0.0212704539,0.0208787844,0.0209315214,0.0188497044,0.020262083,0.0188189708,0.0179338399,0.0178474411,0.0181115735,0.0174783841,0.0175100509,0.0178861767,0.0170079041,0.0156033179,0.0175351538,0.0139939953,0.0157519244,0.016195666,0.0143286604,0.0153550943,0.0148481298,0.0150302295,0.0139357364,0.0145067694,0.0140629038,0.0134895593,0.0139510157,0.0137932934,0.0137329055,0.0127508361,0.0120401597,0.0119416788,0.01231525,0.0112521593,0.0103698997,0.010702257,0.0110680126,0.0107835094,0.0104573732,0.0111219799,0.0104805799,0.0105583556,0.0101404143,0.0108592622,0.0106840618,0.0107047539,0.00998716056,0.00984743144,0.00970470533,0.010504717,0.0106852883,0.0100700734,0.0115924543,0.0102899186,0.0100257406,0.0107809203,0.00900419429,0.00879147463,0.00991487503,0.00675349776,0.00864518061,0.00647161901,0.006300929,0.00621586107,0.00281961542,0.000181450509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0658738241,-0.0628035814,-0.0589244962,-0.056362547,-0.053148292,-0.0504153669,-0.0472294167,-0.0438863784,-0.041680973,-0.0397464558,-0.0368626863,-0.0350371562,-0.032115411,-0.0301909111,-0.0283863507,-0.025738921,-0.0238405801,-0.0215095133,-0.0204751976,-0.0190252326,-0.0177364424,-0.0161817782,-0.0145689584,-0.0143457353,-0.0130789392,-0.0118588619,-0.0101652667,-0.00860774145,-0.00744878501,-0.00595831499,-0.00432482362,-0.00277038664,-0.0016888231,-0.000242613256,0.00107978284,0.00252062827,0.00410299748,0.00497987121,0.00554931164,0.00706472248,0.00846487284,0.00962651521,0.0102568418,0.0109300464,0.0115695298,0.0115694478,0.0113756657,0.0113827586,0.0123362616,0.0109986439,0.0105866343,0.00930137187,0.00743255019,0.00354445726,0.00195235759,-0.00292220712,-0.0100071467,-0.0139156692,-0.0188221149,-0.0223171934,-0.025780119,-0.0265875533
2291,1.40199995,2026-08-28T03:51:35.884000+0000,-25.070845798073332,153.99077424708668,0.0319128856,0.035077177,0.0395992287,0.0364856683,0.0373613164,0.034013845,0.0282997284,0.026006205,0.0230127797,0.0207732841,0.0189709309,0.0202501975,0.0199153256,0.0204490125,0.0206770971,0.019840464,0.0191787854,0.01891152,0.0186697133,0.0177020784,0.0180489831,0.0167738441,0.0171774402,0.0161115695,0.0165783837,0.0167300645,0.0159261674,0.0156479049,0.0157133192,0.0151651539,0.0153539944,0.0152119277,0.0142256655,0.0140986536,0.0143050915,0.0137981344,0.0140402261,0.0140957376,0.0133467661,0.0127929077,0.0132495612,0.0120310159,0.0126632936,0.0127628995,0.0117008332,0.0125101572,0.0112316757,0.011225245,0.0109421555,0.00944990199,0.0102522569,0.0103180148,0.00992351118,0.0102573698,0.0101719787,0.00993057806,0.0091583617,0.00953041296,0.0101492591,0.00991405919,0.00961475633,0.00979715958,0.00882743206,0.00992470607,0.00898471661,0.0092152888,0.0104500754,0.0096424548,0.0101399198,0.0105057405,0.00842091907,0.00972419232,0.00809147395,0.00816487521,0.00833349768,0.00699517876,0.00605161861,0.00584092829,0.00331586041,0.00343961548,0.000331453048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0646858439,-0.0614055879,-0.0577165037,-0.0545445606,-0.0524703041,-0.0484473854,-0.0456814393,-0.0435083956,-0.0405729972,-0.0380784646,-0.0355547071,-0.0330391638,-0.031107422,-0.0287829302,-0.0269083641,-0.0244209282,-0.0224025883,-0.0202415138,-0.0187471993,-0.0170072429,-0.016068466,-0.0142337792,-0.0135609694,-0.0121777505,-0.0112009607,-0.0108908676,-0.00885728747,-0.00732974336,-0.00590079278,-0.00474033877,-0.00312682986,-0.00189239532,-0.000510826707,0.00141537935,0.00253777206,0.00330861658,0.00481099635,0.00590785593,0.00681729615,0.00770271569,0.00897285342,0.00976451486,0.0104048252,0.0103880316,0.011387527,0.011847429,0.0120036602,0.0121307522,0.012634255,0.0116166398,0.0105446279,0.0090193525,0.00719054043,0.00437245518,0.0012903437,-0.00321421027,-0.00963916257,-0.0145076774,-0.0186441503,-0.0248292163,-0.0251821205,-0.0300695673
2292,1.41600001,2026-08-28T03:51:36.141000+0000,-25.07084748613458,153.99077409845503,0.0512729026,0.0244772155,0.0337092243,0.0441156663,0.0344513319,0.0325138383,0.027599737,0.0282262117,0.0208727643,0.0190032944,0.0176009461,0.0215201899,0.0188553445,0.0184090119,0.0208570864,0.0190504603,0.0189387854,0.0188415125,0.0185997058,0.0177420732,0.0170989744,0.016783841,0.0156474337,0.0164115764,0.0158783719,0.0152100576,0.0147261806,0.01563791,0.0147833265,0.0140951592,0.0141540021,0.0139919305,0.0135056674,0.0135586606,0.0136950929,0.0140381344,0.0132102259,0.0137957418,0.0134367701,0.012642906,0.0128495619,0.0121910172,0.0123532992,0.0127629051,0.0117908493,0.0118801827,0.0110717118,0.0103053004,0.0112322271,0.00906999223,0.0101023577,0.0101481155,0.00902359933,0.0101674385,0.00960203446,0.00900061987,0.00941838138,0.00965043157,0.00986926071,0.00878405571,0.00987475179,0.00854716171,0.0093374392,0.00974471774,0.00861473195,0.00984529965,0.00981007703,0.00929244887,0.0103699118,0.00863573421,0.00877091754,0.0101541933,0.0070514949,0.00886492245,0.00879357941,0.00602531666,0.00779183023,0.00477122609,0.00267625926,0.00313015189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0633323491,-0.0599620864,-0.0561030097,-0.0535710566,-0.0504368022,-0.0471338816,-0.0441679284,-0.0417748988,-0.0388094932,-0.0362349711,-0.0344312117,-0.0316256732,-0.0290439278,-0.0269894302,-0.0256448537,-0.0235674269,-0.020639088,-0.0190180168,-0.0184136964,-0.0161237344,-0.0155349448,-0.0138702542,-0.0124974176,-0.0118441842,-0.0110973753,-0.00974727422,-0.00808368996,-0.00689615309,-0.00554722175,-0.00419678167,-0.00261328369,-0.000948876143,-5.73173165e-05,0.00169887394,0.00291125476,0.00370209664,0.00520448387,0.00617136806,0.00704080611,0.00805622339,0.010056369,0.0102580115,0.0112983212,0.011831522,0.012571007,0.0130409226,0.0124971494,0.0121442601,0.0131377801,0.012170203,0.011288248,0.0110330284,0.00684428215,0.00591629744,0.00224433839,-0.00384008512,-0.0111648478,-0.0138132162,-0.0205995478,-0.0223444626,-0.0290972851,-0.0308646932
2293,1.41600001,2026-08-28T03:51:36.390000+0000,-25.07084912165084,153.99077395444993,0.0390628912,0.02500722,0.0378892384,0.0389856733,0.0331413411,0.0321838371,0.027539745,0.0279962271,0.0201927647,0.019013308,0.0177509412,0.0196301863,0.0165553205,0.0204890054,0.0191270914,0.0186804496,0.018468773,0.0186715201,0.0177697111,0.0171420779,0.0165989809,0.0157938376,0.0158674344,0.0153115718,0.0160683766,0.0157200657,0.0151361711,0.0150679108,0.0140533261,0.0148051549,0.0146839991,0.0132619301,0.0138256699,0.0134186568,0.0136250947,0.0130381323,0.0135102309,0.012955741,0.0124167707,0.0121729085,0.0117395595,0.0120310159,0.012283301,0.0122729102,0.0114608482,0.011400179,0.0109117106,0.0106853023,0.0101022273,0.00944999419,0.0092923604,0.00946811587,0.00935360044,0.00961744413,0.00926203467,0.00919061713,0.00952838175,0.00938042998,0.00907926075,0.00890405476,0.00911475159,0.00860716123,0.00893743988,0.00941472035,0.0088347327,0.0095553007,0.00932007842,0.00921244826,0.00949991122,0.00871573109,0.00922091398,0.00908419304,0.00761149544,0.00844492204,0.00879357941,0.00581531832,0.00671183132,0.0041312268,0.00331625901,0.00223015156,0.000492130406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0552103445,-0.051840093,-0.0490910038,-0.0452190638,-0.0425348133,-0.0400018767,-0.0365559272,-0.0346728899,-0.0318374969,-0.0296929628,-0.0266491994,-0.0251036771,-0.0232219137,-0.0204174258,-0.0187628604,-0.0165654346,-0.0146470964,-0.0127060227,-0.00910169631,-0.00737173483,-0.00674293563,-0.00493824854,-0.00431541726,-0.00396217406,-0.00257537514,-0.00176527724,-0.000751681626,0.000745844096,0.00214478374,0.00349522382,0.00513871387,0.0062831305,0.00732468441,0.00850087777,0.00973325595,0.0111441053,0.0121864937,0.013303373,0.0138928033,0.0145482235,0.0159083642,0.0166800208,0.0172703303,0.0182535164,0.018123012,0.0189429261,0.0178391524,0.0174062587,0.0174897797,0.016482193,0.0146102346,0.0119950287,0.0105163045,0.00664829835,0.000956337899,-0.00501808524,-0.0131028518,-0.0201212205,-0.0282075349,-0.0346324854,-0.0385952741,-0.0414826795
